word	cid	keyword	cluster
American	155	Amercian	inAmerican, African-, USAmerican, European-American, Western, America, theAmerican, Euro-American, Americam, merican, AmericanAmerican, Euorpean, world.American, Americal, Amreican, Bristish, Amrican, Brittish, forAmerican, PMAmerican, byAmerican, Brit, andAmerican, anAmerican, Canadaian, Anglo-Canadian, Americian, British, French, north-American, Amerian, --American, Amercian, Canandian, onAmerican, African, American-European, Africian, Latin-American, Americna, Amerca, Austrailian, Anglo-American, erican, Amer-ican, Ameircan, ofAmerican, Anglo, Britsh, Amencan, Mexican, moreAmerican, Northamerican, Panamanian, Canadian-American, Non-American, America.Most, Continental, AmericanThis, North-American, America-the, Eurpoean, TheAmerican, Candadian, Amarican, Canadian, ex-American, Anerican, German, America.The, America--the, Amercan, Austrialian, Anglo-European, Ameri-, Americn, German-American, American-American, allAmerican, British-American, Amerikan, amercian, withAmerican, Ameri-can, European, it.American, America--a, Americ, Australian, Europen, American-British, US-American, Candian, Ameican
American	47	non-American	Ameicans, Americana, Americanist, Americans.To, Amercans, American.I, American-centered, Exceptionalist, Americans.The, Americans., non-American, American.What, American.And, non-Americans, Americans, American--, AmericansThe, Americans.Click, Americanism, Americans.He, Amerians, Murican, Red-Blooded, Amurican, American.So, Americans--, Americans--and, Amurrican, USian, American.But, American.It, Americans.As, Amercians, Americans.A
American	102	ArtAmerican	MoreAmerican, 2012American, AmericaAmerican, Inc.American, 10American, HomeAmerican, PostAmerican, 2014American, TagsAmerican, DescriptionAmerican, ArtAmerican, 2016American, NewsAmerican
American	84	American-type	American-ish, American-inspired, American-centric, all-American, American-style, American-type, American-like, American-influenced, American-styled, Americanized
American	94	U.S.	US, foreign, U.S, American-only, non-U.S., non-american, U.S., non-US
American	163	Korean	Asian, Korean, Japanese, Japenese, Indian, American-Asian, Chinese, American-Chinese
American	82	American-owned	American-based, American-owned, American-born, American-bred
American	83	Jewish-American	American-Jewish, Israeli, Jewish-American
American	80	Midwestern	Midwestern, Mid-Western
American	156	Irish-American	Irish-American, American-Irish
